clientId,country,product_id
57961,SP,30968
75113,SP,12599
535,MS,10909
535,MS,10909
535,MS,10909
34947,MT,24216
50686,RJ,6537
16448,RS,12647
41282,MG,21392
73851,SP,4697
36266,BA,14899
40736,MG,29134
53234,SP,31490
2449,SP,24646
74064,SP,12412
87625,MG,4427
74597,RJ,15175
57254,PR,16393
71184,MG,21262
91394,CE,10553
89754,SP,12865
29443,PE,3876
41980,SP,24646
63585,SP,29326
56263,RJ,15860
56263,RJ,15860
16123,SP,28021
7312,BA,6725
84444,BA,14409
44508,SP,27139
23233,DF,1794
42242,RJ,28611
26999,RJ,23111
58988,DF,16960
26318,SP,11465
8222,SP,2296
55739,SP,23927
39900,RJ,28842
39900,RJ,28842
4996,SP,25308
25369,MG,8512
38880,RJ,11733
1248,RS,9346
41127,RJ,13184
60180,SP,5522
7824,MG,6565
41941,DF,13573
41941,DF,13573
41941,DF,13573
41941,DF,13573
73863,SP,2561
42460,SP,28765
28758,MG,25902
6496,RJ,4177
3901,SP,25641
50286,SP,4325
33033,RJ,14357
88361,SP,15208
88361,SP,15208
84500,SP,23026
33177,BA,24481
11856,SC,12154
42546,SP,28660
73647,AP,30117
14583,SP,21577
43661,GO,17759
30667,SP,19099
90770,DF,21438
69317,SP,23922
53787,RJ,6862
57813,RS,11709
49162,SP,16236
11988,SP,9460
67593,RJ,29843
15482,SP,18568
80129,SP,6063
65292,GO,3341
65292,GO,3341
65292,GO,3341
65292,GO,3341
77177,SP,20375
79654,PE,25766
62151,RJ,26156
1101,PR,14237
473,SP,15303
2680,SP,2036
33098,SP,17489
87362,SC,31711
82316,BA,24275
78202,SP,3064
39166,RJ,20606
86179,SC,14040
55715,SP,4521
55715,SP,4521
31703,MG,8704
14608,SP,11996
41765,PR,30455
73082,MG,14240
73082,MG,14240
79771,SP,12172
68715,SP,29289
66528,SP,31330
90436,RJ,15073
19780,GO,19939
31359,AL,20310
31359,AL,20310
4796,PI,13614
27371,PE,10047
33110,SP,24587
55475,SP,9971
28499,SP,9655
21928,RS,5869
86641,MG,17803
75404,RS,24449
22807,SP,2240
16348,PR,22546
44963,MG,3089
62946,MG,16975
62946,MG,16975
85683,RJ,21276
84566,RS,14897
20437,SP,19639
74406,BA,12735
50044,SP,20995
95273,SP,31317
55115,GO,19779
54806,MG,30253
59805,SP,15608
44533,RJ,31349
30977,SP,5595
52442,SP,10487
8367,AM,26793
61242,DF,8048
42933,SP,153
10698,ES,12945
79717,MG,12183
88144,SP,6045
88144,SP,6045
88144,SP,6045
88144,SP,6045
90336,RS,6764
15008,SP,15749
57774,RJ,22064
93499,SP,5383
46873,DF,29413
48726,PB,13250
66825,RJ,26810
45152,RS,16189
56550,MG,22670
78694,PR,22480
78694,PR,22480
78694,PR,22480
26321,SP,9870
51588,PI,11064
30350,RS,19293
30350,RS,19293
30350,RS,19293
2958,PR,19866
21155,SP,260
10455,SP,22748
44745,SP,28553
55763,ES,28587
39396,RJ,11699
39396,RJ,11699
3895,SP,29310
87088,SC,17300
53009,MG,18394
33969,SC,10668
