,encoded_id,order_approved_at_month,product_id
190,191,7,25275
191,192,5,31854
192,193,8,29573
193,194,6,372
194,195,12,26027
195,196,3,27775
196,197,10,3332
197,198,1,2903
198,199,2,725
199,200,2,2067
200,201,9,4100
201,202,8,31694
202,203,2,18419
203,204,3,5132
204,205,4,27541
205,206,8,13347
206,207,3,26215
207,208,1,12508
208,209,2,11845
209,210,7,6644
210,211,4,17763
211,212,12,30117
212,213,8,29091
213,214,12,8346
214,215,11,11685
215,216,2,17456
216,217,4,8778
217,218,1,300
218,219,11,18062
219,220,3,7806
220,221,8,2475
221,222,6,732
222,223,3,4502
223,224,2,26288
224,225,11,14349
225,226,9,13284
226,227,10,7876
227,228,2,19374
228,229,3,26456
229,230,9,4003
230,231,1,30763
231,232,1,22158
232,233,1,22627
233,234,4,14475
234,235,12,6864
235,236,5,10131
236,237,8,25694
237,238,6,6155
238,239,2,3451
239,240,5,10487
240,241,10,30254
241,242,8,24056
242,243,5,9674
243,244,5,1628
244,245,5,5382
245,246,12,27125
246,247,5,20617
247,248,10,30798
248,249,6,160
249,250,1,10668
250,251,3,6710
251,252,6,28313
252,253,11,19598
253,254,5,5282
254,255,8,10266
255,256,3,28005
256,257,7,29234
257,258,4,29515
258,259,4,22110
259,260,4,3630
260,261,3,31263
261,262,6,2264
262,263,6,21719
263,264,8,3343
264,265,11,28091
265,266,5,30664
266,267,8,15584
267,268,3,734
268,269,7,30236
269,270,4,17268
270,271,6,20136
271,272,5,614
272,273,7,31115
273,274,7,24377
274,275,8,1020
275,276,4,14399
276,277,11,11087
277,278,7,6259
278,279,9,1159
279,280,8,21275
280,281,4,559
281,282,5,31572
282,283,3,14102
283,284,6,12420
284,285,11,16837
285,286,10,24895
286,287,2,21392
287,288,10,18061
288,289,5,18342
289,290,7,28655
290,291,6,24549
291,292,6,29750
292,293,7,5059
293,294,9,31475
294,295,2,504
295,296,8,16987
296,297,6,19659
297,298,12,11992
298,299,11,28380
299,300,8,31510
300,301,11,30315
301,302,6,28926
302,303,5,5803
303,304,6,29392
304,305,6,15166
305,306,8,11895
306,307,6,31360
307,308,6,18478
308,309,3,12163
309,310,7,27709
